X,Y,GID,MHN,IDENTIFICA,RESOLUCION,DIRECCION,AUTORIA,FECHA,DECRETO
-56.3095637606737,-34.8922965836808,43165720,B.I.D,Ejemplar de Eucaliptus diversicolor,895/11,,,,
-56.1914186826361,-34.9058979990794,43165728,M.H.N,Monumento a la PAZ,1170/976,,,,
-56.1643502720192,-34.8973843735071,43165729,M.H.N,Monumento a los Constituyentes de 1830,1170/976,,,,
-56.1633668731495,-34.9063636352528,43165730,M.H.N,Monumento a José Pedro Varela,1170/976,,,,
-56.0819247373066,-34.8853803043948,43165731,B.I.D,Portones de Carrasco,Dº 26864,,,,
-56.0817821932483,-34.8856325502935,43165732,B.I.D,Portones de Carrasco,Dº 26864,,,,
-56.1997500018634,-34.9065138866732,43165733,M.H.N,Monumento al Gral José Gervasio Artigas y Mausoleo,1170/976,,,,
-56.2008222222001,-34.9065638889011,43165734,M.H.N,Puerta de la Ciudadela,1097/975,,,,
-56.1968694993115,-34.8774249651597,43165735,M.H.N,Monumento a Joaquín Suarez,1170/976,,,,
-56.2084906943094,-34.8597111910636,43165736,M.H.N,Monumento a los últimos Charrúas,1170/976,,,,
-56.1701865864338,-34.9251137455691,43165737,M.H.N,Memorial del Holocausto del Pueblo Judío,20 de setiembre 1995,Rambla Pte. Wilson,,,
-56.1963114937002,-34.8576765955293,43165738,M.H.N,Monumento a Aparicio Saravia,1170/976,,,,
-56.2052477993683,-34.9026746865623,43165739,M.H.N,Monumento a Hernandarias,1170/976,,,,
-56.1552396167236,-34.8926008972676,43165740,M.H.N,Monumento a la Carreta,1170/976,,,,
-56.1623811408202,-34.9064671763824,43165741,M.H.N,Monumento al Viejo Pancho,1170/976,,,,
-56.2017446965546,-34.9076510648181,43165742,M.H.N,Baluarte de San Sebastián,1097/975,,,,
-56.2036068391435,-34.9105587186668,43165743,M.H.N,Cubo del Sur,1097/975,,,,
-56.1575618485453,-34.8930490220411,43165744,M.H.N,Víctima de la Guerra Civil,1170/976,,,,
-56.2566322515726,-34.8954197391795,43165745,M.H.N,Memorial de Recordación de los Detenidos Desaparecidos,211/014,Parque Vaz Ferreira - Parque del Cerro de Montevideo,,,
-56.2600811195806,-34.888435423598,43165746,M.H.N,Faro del Cerro de Montevideo,333/976,,,,
-56.1604626880987,-34.9351839189499,43165747,M.H.N,Faro de Punta Brava,333/976,,,,
-56.1848724073386,-34.9055082226545,43165749,M.H.N,Monumento el Gaucho,1170/976,,,,
-56.2005891588541,-34.8251224910762,43165751,M.H.N,Casilla de Señales,2100/975,,,,
-56.3550038036305,-34.7859816250529,43165752,M.H.N,Puente de Hierro Giratorio,1336/997,,,,
-56.1884972,-34.9043027,66440759,B.I.D,Schinus molle L. 'Anacahuita' 'Aguaribay' 'Árbol de la Pimienta',Decreto Departamental Nº26728,Yaguarón 1403 y Colonia 1297 (Torre de los Profesionales),,,
-56.1574472,-34.8945527,66440760,B.I.D,Quercus suber 'Alcornoque',Decreto Departamental N°26728,"Parque Batlle, Av. Dr. Lorenzo Merola.",,,
-56.1573694,-34.8944694,66440761,B.I.D,Lithraea molleoides 'Aruera',Decreto Departamental N°26728,"Parque Batlle, sobre camino que circunvala la pista de atletismo",,,
-56.1566777,-34.8964333,66440762,B.I.D,Washingtonia robusta (círculos 69 ejemplares),Decreto Departamental N°26728,"Parque Batlle, Avenida Dr. Lorenzo Merola y Senda Alfredo Olivera",,,
